ColorName,NumOfColors,Type,ColorNum,R,G,B
PuOr,3,div,1,241,163,64
,,,2,247,247,247
,,,3,153,142,195
PuOr,4,div,1,230,97,1
,,,2,253,184,99
,,,3,178,171,210
,,,4,94,60,153
PuOr,5,div,1,230,97,1
,,,2,253,184,99
,,,3,247,247,247
,,,4,178,171,210
,,,5,94,60,153
PuOr,6,div,1,179,88,6
,,,2,241,163,64
,,,3,254,224,182
,,,4,216,218,235
,,,5,153,142,195
,,,6,84,39,136
PuOr,7,div,1,179,88,6
,,,2,241,163,64
,,,3,254,224,182
,,,4,247,247,247
,,,5,216,218,235
,,,6,153,142,195
,,,7,84,39,136
PuOr,8,div,1,179,88,6
,,,2,224,130,20
,,,3,253,184,99
,,,4,254,224,182
,,,5,216,218,235
,,,6,178,171,210
,,,7,128,115,172
,,,8,84,39,136
PuOr,9,div,1,179,88,6
,,,2,224,130,20
,,,3,253,184,99
,,,4,254,224,182
,,,5,247,247,247
,,,6,216,218,235
,,,7,178,171,210
,,,8,128,115,172
,,,9,84,39,136
PuOr,10,div,1,127,59,8
,,,2,179,88,6
,,,3,224,130,20
,,,4,253,184,99
,,,5,254,224,182
,,,6,216,218,235
,,,7,178,171,210
,,,8,128,115,172
,,,9,84,39,136
,,,10,45,0,75
PuOr,11,div,1,127,59,8
,,,2,179,88,6
,,,3,224,130,20
,,,4,253,184,99
,,,5,254,224,182
,,,6,247,247,247
,,,7,216,218,235
,,,8,178,171,210
,,,9,128,115,172
,,,10,84,39,136
,,,11,45,0,75
BrBG,3,div,1,216,179,101
,,,2,245,245,245
,,,3,90,180,172
BrBG,4,div,1,166,97,26
,,,2,223,194,125
,,,3,128,205,193
,,,4,1,133,113
BrBG,5,div,1,166,97,26
,,,2,223,194,125
,,,3,245,245,245
,,,4,128,205,193
,,,5,1,133,113
BrBG,6,div,1,140,81,10
,,,2,216,179,101
,,,3,246,232,195
,,,4,199,234,229
,,,5,90,180,172
,,,6,1,102,94
BrBG,7,div,1,140,81,10
,,,2,216,179,101
,,,3,246,232,195
,,,4,245,245,245
,,,5,199,234,229
,,,6,90,180,172
,,,7,1,102,94
BrBG,8,div,1,140,81,10
,,,2,191,129,45
,,,3,223,194,125
,,,4,246,232,195
,,,5,199,234,229
,,,6,128,205,193
,,,7,53,151,143
,,,8,1,102,94
BrBG,9,div,1,140,81,10
,,,2,191,129,45
,,,3,223,194,125
,,,4,246,232,195
,,,5,245,245,245
,,,6,199,234,229
,,,7,128,205,193
,,,8,53,151,143
,,,9,1,102,94
BrBG,10,div,1,84,48,5
,,,2,140,81,10
,,,3,191,129,45
,,,4,223,194,125
,,,5,246,232,195
,,,6,199,234,229
,,,7,128,205,193
,,,8,53,151,143
,,,9,1,102,94
,,,10,0,60,48
BrBG,11,div,1,84,48,5
,,,2,140,81,10
,,,3,191,129,45
,,,4,223,194,125
,,,5,246,232,195
,,,6,245,245,245
,,,7,199,234,229
,,,8,128,205,193
,,,9,53,151,143
,,,10,1,102,94
,,,11,0,60,48
PRGn,3,div,1,175,141,195
,,,2,247,247,247
,,,3,127,191,123
PRGn,4,div,1,123,50,148
,,,2,194,165,207
,,,3,166,219,160
,,,4,0,136,55
PRGn,5,div,1,123,50,148
,,,2,194,165,207
,,,3,247,247,247
,,,4,166,219,160
,,,5,0,136,55
PRGn,6,div,1,118,42,131
,,,2,175,141,195
,,,3,231,212,232
,,,4,217,240,211
,,,5,127,191,123
,,,6,27,120,55
PRGn,7,div,1,118,42,131
,,,2,175,141,195
,,,3,231,212,232
,,,4,247,247,247
,,,5,217,240,211
,,,6,127,191,123
,,,7,27,120,55
PRGn,8,div,1,118,42,131
,,,2,153,112,171
,,,3,194,165,207
,,,4,231,212,232
,,,5,217,240,211
,,,6,166,219,160
,,,7,90,174,97
,,,8,27,120,55
PRGn,9,div,1,118,42,131
,,,2,153,112,171
,,,3,194,165,207
,,,4,231,212,232
,,,5,247,247,247
,,,6,217,240,211
,,,7,166,219,160
