ColorName,NumOfColors,Type,ColorNum,R,G,B
Set3,3,qual,1,141,211,199
,,,2,255,255,179
,,,3,190,186,218
Set3,4,qual,1,141,211,199
,,,2,255,255,179
,,,3,190,186,218
,,,4,251,128,114
Set3,5,qual,1,141,211,199
,,,2,255,255,179
,,,3,190,186,218
,,,4,251,128,114
,,,5,128,177,211
Set3,6,qual,1,141,211,199
,,,2,255,255,179
,,,3,190,186,218
,,,4,251,128,114
,,,5,128,177,211
,,,6,253,180,98
Set3,7,qual,1,141,211,199
,,,2,255,255,179
,,,3,190,186,218
,,,4,251,128,114
,,,5,128,177,211
,,,6,253,180,98
,,,7,179,222,105
Set3,8,qual,1,141,211,199
,,,2,255,255,179
,,,3,190,186,218
,,,4,251,128,114
,,,5,128,177,211
,,,6,253,180,98
,,,7,179,222,105
,,,8,252,205,229
Set3,9,qual,1,141,211,199
,,,2,255,255,179
,,,3,190,186,218
,,,4,251,128,114
,,,5,128,177,211
,,,6,253,180,98
,,,7,179,222,105
,,,8,252,205,229
,,,9,217,217,217
Set3,10,qual,1,141,211,199
,,,2,255,255,179
,,,3,190,186,218
,,,4,251,128,114
,,,5,128,177,211
,,,6,253,180,98
,,,7,179,222,105
,,,8,252,205,229
,,,9,217,217,217
,,,10,188,128,189
Set3,11,qual,1,141,211,199
,,,2,255,255,179
,,,3,190,186,218
,,,4,251,128,114
,,,5,128,177,211
,,,6,253,180,98
,,,7,179,222,105
,,,8,252,205,229
,,,9,217,217,217
,,,10,188,128,189
,,,11,204,235,197
Set3,12,qual,1,141,211,199
,,,2,255,255,179
,,,3,190,186,218
,,,4,251,128,114
,,,5,128,177,211
,,,6,253,180,98
,,,7,179,222,105
,,,8,252,205,229
,,,9,217,217,217
,,,10,188,128,189
,,,11,204,235,197
,,,12,255,237,111
Pastel1,3,qual,1,251,180,174
,,,2,179,205,227
,,,3,204,235,197
Pastel1,4,qual,1,251,180,174
,,,2,179,205,227
,,,3,204,235,197
,,,4,222,203,228
Pastel1,5,qual,1,251,180,174
,,,2,179,205,227
,,,3,204,235,197
,,,4,222,203,228
,,,5,254,217,166
Pastel1,6,qual,1,251,180,174
,,,2,179,205,227
,,,3,204,235,197
,,,4,222,203,228
,,,5,254,217,166
,,,6,255,255,204
Pastel1,7,qual,1,251,180,174
,,,2,179,205,227
,,,3,204,235,197
,,,4,222,203,228
,,,5,254,217,166
,,,6,255,255,204
,,,7,229,216,189
Pastel1,8,qual,1,251,180,174
,,,2,179,205,227
,,,3,204,235,197
,,,4,222,203,228
,,,5,254,217,166
,,,6,255,255,204
,,,7,229,216,189
,,,8,253,218,236
Pastel1,9,qual,1,251,180,174
,,,2,179,205,227
,,,3,204,235,197
,,,4,222,203,228
,,,5,254,217,166
,,,6,255,255,204
,,,7,229,216,189
,,,8,253,218,236
,,,9,242,242,242
Set1,3,qual,1,228,26,28
,,,2,55,126,184
,,,3,77,175,74
Set1,4,qual,1,228,26,28
,,,2,55,126,184
,,,3,77,175,74
,,,4,152,78,163
Set1,5,qual,1,228,26,28
,,,2,55,126,184
,,,3,77,175,74
,,,4,152,78,163
,,,5,255,127,0
Set1,6,qual,1,228,26,28
,,,2,55,126,184
,,,3,77,175,74
,,,4,152,78,163
,,,5,255,127,0
,,,6,255,255,51
Set1,7,qual,1,228,26,28
,,,2,55,126,184
,,,3,77,175,74
,,,4,152,78,163
,,,5,255,127,0
,,,6,255,255,51
,,,7,166,86,40
Set1,8,qual,1,228,26,28
,,,2,55,126,184
,,,3,77,175,74
,,,4,152,78,163
,,,5,255,127,0
,,,6,255,255,51
,,,7,166,86,40
,,,8,247,129,191
Set1,9,qual,1,228,26,28
,,,2,55,126,184
,,,3,77,175,74
,,,4,152,78,163
,,,5,255,127,0
,,,6,255,255,51
,,,7,166,86,40
,,,8,247,129,191
,,,9,153,153,153
Pastel2,3,qual,1,179,226,205
,,,2,253,205,172
,,,3,203,213,232
