x	y	class
5.720000	3.930000	8
19.459999	4.920000	7
22.120001	19.150000	3
13.200000	13.860000	6
5.670000	24.219999	10
14.600000	14.640000	6
12.360000	7.490000	2
14.150000	15.970000	6
11.520000	22.580000	5
11.210000	23.920000	5
17.410000	11.560000	9
21.770000	20.219999	3
26.330000	11.000000	4
17.610001	12.860000	9
25.549999	11.780000	4
13.980000	7.290000	2
22.850000	19.469999	3
17.070000	12.790000	9
21.200001	5.360000	7
15.500000	15.600000	6
22.450001	21.520000	3
25.870001	9.540000	4
21.719999	4.980000	7
9.640000	21.600000	5
5.980000	3.390000	8
0.520000	20.549999	1
20.799999	5.710000	7
19.719999	3.950000	7
16.440001	11.660000	9
24.910000	11.130000	4
23.309999	19.490000	3
9.380000	23.320000	5
18.680000	2.810000	7
1.260000	16.540001	1
24.450001	10.250000	4
24.680000	11.230000	4
12.620000	6.440000	2
9.430000	25.049999	10
16.780001	16.469999	6
22.340000	17.770000	3
20.629999	5.350000	7
10.560000	22.879999	5
0.630000	19.389999	1
3.050000	17.190001	1
22.480000	20.410000	3
17.780001	13.210000	9
17.299999	14.550000	9
11.260000	24.139999	5
7.740000	24.580000	10
11.590000	24.219999	5
16.580000	16.139999	6
13.320000	6.740000	2
20.190001	4.420000	7
15.190000	16.580000	6
1.090000	16.980000	1
12.290000	5.930000	2
10.630000	7.560000	2
16.920000	11.370000	9
2.170000	18.250000	1
24.959999	10.670000	4
5.020000	1.900000	8
13.000000	8.740000	2
5.070000	3.010000	8
10.050000	21.379999	5
18.250000	13.700000	9
20.660000	19.340000	3
13.030000	7.590000	2
6.700000	26.330000	10
17.530001	11.430000	9
0.560000	17.490000	1
17.879999	13.450000	9
24.150000	9.410000	4
21.010000	4.140000	7
22.469999	20.370001	3
3.990000	1.130000	8
15.340000	12.110000	9
6.140000	25.450001	10
7.490000	23.910000	10
21.510000	21.270000	3
6.320000	2.470000	8
16.500000	12.800000	9
12.060000	7.820000	2
24.969999	19.900000	3
1.770000	17.680000	1
13.330000	7.950000	2
7.830000	25.379999	10
2.720000	16.520000	1
12.640000	7.790000	2
20.260000	4.370000	7
11.340000	22.420000	5
19.660000	4.310000	7
3.750000	18.129999	1
2.560000	16.400000	1
5.940000	2.940000	8
17.290001	11.880000	9
10.650000	22.559999	5
18.980000	10.420000	9
10.270000	20.580000	5
10.840000	6.050000	2
11.080000	22.059999	5
13.940000	15.780000	6
25.879999	10.540000	4
3.250000	18.520000	1
11.070000	8.140000	2
18.070000	12.740000	9
13.120000	14.630000	6
20.809999	5.080000	7
23.820000	20.879999	3
22.690001	19.840000	3
8.200000	24.209999	10
5.690000	2.020000	8
1.740000	17.150000	1
13.920000	14.280000	6
7.450000	25.030001	10
6.310000	24.219999	10
19.000000	4.530000	7
20.330000	4.210000	7
15.480000	14.030000	6
24.170000	10.530000	4
13.230000	13.870000	6
11.540000	21.790001	5
22.330000	19.709999	3
1.710000	16.299999	1
7.850000	25.080000	10
24.240000	9.500000	4
18.139999	13.510000	9
1.510000	16.930000	1
27.250000	11.310000	4
13.570000	15.530000	6
10.270000	22.860001	5
20.549999	6.510000	7
5.680000	3.020000	8
9.030000	23.820000	5
14.960000	15.080000	6
7.890000	25.309999	10
13.720000	8.840000	2
21.780001	20.150000	3
19.620001	12.140000	9
21.639999	6.260000	7
19.230000	4.080000	7
23.590000	20.150000	3
25.719999	10.120000	4
11.960000	7.490000	2
15.280000	14.270000	6
24.520000	8.750000	4
26.730000	8.890000	4
20.730000	5.410000	7
8.040000	25.459999	10
22.959999	19.700001	3
25.379999	11.100000	4
22.160000	19.690001	3
9.210000	22.490000	5
13.350000	6.270000	2
11.490000	5.710000	2
2.080000	15.780000	1
18.969999	12.710000	9
4.190000	2.400000	8
22.570000	20.129999	3
3.920000	17.080000	1
9.880000	23.490000	5
10.120000	22.400000	5
2.440000	17.799999	1
20.309999	5.450000	7
13.730000	13.710000	6
17.670000	11.860000	9
11.090000	21.480000	5
6.320000	2.200000	8
23.760000	19.410000	3
20.010000	4.400000	7
21.540001	21.930000	3
4.580000	3.160000	8
7.320000	3.050000	8
20.930000	4.700000	7
7.520000	26.000000	10
24.480000	19.680000	3
24.700001	9.960000	4
24.709999	9.250000	4
2.220000	16.790001	1
20.270000	3.390000	7
24.350000	9.550000	4
5.220000	5.010000	8
2.450000	18.600000	1
21.700001	18.700001	3
14.070000	8.310000	2
19.870001	5.220000	7
7.090000	2.560000	8
7.810000	21.360001	5
11.510000	21.680000	5
18.580000	12.300000	9
5.850000	25.290001	10
10.940000	24.270000	5
10.380000	22.500000	5
14.270000	14.420000	6
3.310000	2.160000	8
18.309999	12.450000	9
14.770000	14.320000	6
7.390000	22.540001	10
0.660000	18.790001	1
2.070000	18.459999	1
4.140000	3.430000	8
