x	y	class
10.17	20.2	4
6.12	22.22	1
5.08	3.65	2
10.09	14.84	4
8.48	25.07	3
10.72	17.39	4
10.86	19.18	4
7.92	25.31	3
11.49	17.36	4
9.14	17.69	4
5.31	5.24	2
1.03	22.89	3
4.14	23.23	3
4.75	6.92	2
9.48	25.83	3
2.96	23.25	1
6.64	24.2	3
7.34	24.79	3
10.09	17.71	4
3.31	22.54	1
7.35	26.05	3
5.28	6.84	2
7.84	24.47	3
0.87	21.88	1
6.74	24.02	3
12.1	10.73	5
6.45	27.6	3
13.12	9.7	5
8.8	25.43	3
8.3	25.52	3
1.8	21.67	1
8.25	24.96	3
11.46	10.43	5
5.54	6.57	2
11.6	9.49	5
13.46	9.78	5
12.58	9.31	5
4.28	24.5	3
4.45	3.47	2
7.77	25.63	3
2.92	23.57	3
9.09	25.89	3
11.02	17.23	4
8.01	25.21	3
11.63	15.24	4
9.06	19	4
7.3	25.01	3
12.06	11.21	5
10.94	10.31	5
10.56	18.24	3
12.96	9.88	4
12.34	10.32	5
5.56	6	2
8.19	26.71	3
7.96	25.92	3
2.01	21.84	1
2.87	24.02	1
7.64	25.88	3
5.33	5.41	2
9.32	16.76	4
7.97	24.22	3
3.17	22.77	1
9.4	16.8	4
8.96	24.46	3
5.68	5.07	2
9.53	16.92	4
5.97	5.02	2
1.55	22.89	1
6.37	25.2	3
25.32	6.96	1
7.67	25.54	3
1.49	23.34	4
26.37	7.53	4
8.7	17.87	4
6	4.88	2
12.81	10.45	5
25.86	7.32	1
2.76	21.37	1
3.87	5.58	2
7.54	25.1	3
9.89	18.47	4
5.85	5.08	2
5.65	4.05	2
16.94	3.37	5
3.59	21.75	5
13.45	8.58	5
4.03	4.58	2
4.8	4.01	2
7.1	24.11	3
7.02	24.34	3
13.41	10.46	5
2.03	21.92	5
6.12	23.63	3
3.58	22.03	1
7.49	25.81	3
12.87	8.17	5
3.11	25.32	1
11.35	17.45	4
17.49	2.74	1
24.65	7.48	1
13.47	10.07	5
10.61	16.12	4
8.43	24.03	3
