x	y	class
5.72	3.93	2
19.46	4.92	8
22.12	19.15	9
13.2	13.86	6
5.67	24.22	3
14.6	14.64	6
12.36	7.49	5
14.15	15.97	6
11.52	22.58	4
11.21	23.92	4
17.41	11.56	9
21.77	20.22	5
26.33	11	10
17.61	12.86	7
25.55	11.78	10
13.98	7.29	5
22.85	19.47	9
17.07	12.79	7
21.2	5.36	9
15.5	15.6	6
22.45	21.52	9
25.87	9.54	10
21.72	4.98	8
9.64	21.6	4
5.98	3.39	2
0.52	20.55	1
20.8	5.71	8
19.72	3.95	8
16.44	11.66	7
24.91	11.13	10
23.31	19.49	9
9.38	23.32	3
18.68	2.81	8
1.26	16.54	1
24.45	10.25	10
24.68	11.23	10
12.62	6.44	5
9.43	25.05	1
16.78	16.47	6
22.34	17.77	9
20.63	5.35	1
10.56	22.88	4
0.63	19.39	1
3.05	17.19	1
22.48	20.41	9
17.78	13.21	7
17.3	14.55	7
11.26	24.14	4
7.74	24.58	3
11.59	24.22	4
16.58	16.14	6
13.32	6.74	5
20.19	4.42	8
15.19	16.58	6
1.09	16.98	1
12.29	5.93	5
10.63	7.56	5
16.92	11.37	7
2.17	18.25	1
24.96	10.67	10
5.02	1.9	2
13	8.74	5
5.07	3.01	2
10.05	21.38	4
18.25	13.7	7
20.66	19.34	9
13.03	7.59	5
6.7	26.33	3
17.53	11.43	7
0.56	17.49	1
17.88	13.45	7
24.15	9.41	10
21.01	4.14	8
22.47	20.37	9
3.99	1.13	2
15.34	12.11	7
6.14	25.45	3
7.49	23.91	3
21.51	21.27	9
6.32	2.47	2
16.5	12.8	7
12.06	7.82	5
24.97	19.9	9
1.77	17.68	1
13.33	7.95	5
7.83	25.38	3
2.72	16.52	1
12.64	7.79	5
20.26	4.37	8
11.34	22.42	4
19.66	4.31	8
3.75	18.13	1
2.56	16.4	1
5.94	2.94	2
17.29	11.88	7
10.65	22.56	4
18.98	10.42	7
10.27	20.58	4
10.84	6.05	5
11.08	22.06	4
13.94	15.78	6
25.88	10.54	10
3.25	18.52	1
11.07	8.14	5
18.07	12.74	7
13.12	14.63	6
20.81	5.08	8
23.82	20.88	9
22.69	19.84	9
8.2	24.21	3
5.69	2.02	2
1.74	17.15	1
13.92	14.28	6
7.45	25.03	3
6.31	24.22	3
19	4.53	8
20.33	4.21	8
15.48	14.03	6
24.17	10.53	10
13.23	13.87	5
11.54	21.79	4
22.33	19.71	9
1.71	16.3	1
7.85	25.08	3
24.24	9.5	10
18.14	13.51	7
1.51	16.93	1
27.25	11.31	10
13.57	15.53	6
10.27	22.86	4
20.55	6.51	8
5.68	3.02	2
9.03	23.82	4
14.96	15.08	6
7.89	25.31	3
13.72	8.84	5
21.78	20.15	9
19.62	12.14	7
21.64	6.26	8
19.23	4.08	8
23.59	20.15	9
25.72	10.12	10
11.96	7.49	5
15.28	14.27	7
24.52	8.75	10
26.73	8.89	10
20.73	5.41	8
8.04	25.46	3
22.96	19.7	9
25.38	11.1	9
22.16	19.69	9
9.21	22.49	4
13.35	6.27	5
11.49	5.71	5
2.08	15.78	1
18.97	12.71	7
4.19	2.4	2
22.57	20.13	9
3.92	17.08	1
9.88	23.49	4
10.12	22.4	4
2.44	17.8	1
20.31	5.45	8
13.73	13.71	6
17.67	11.86	7
11.09	21.48	4
6.32	2.2	2
23.76	19.41	9
20.01	4.4	8
21.54	21.93	9
4.58	3.16	2
7.32	3.05	2
20.93	4.7	9
7.52	26	3
24.48	19.68	9
24.7	9.96	10
24.71	9.25	10
2.22	16.79	1
20.27	3.39	8
24.35	9.55	10
5.22	5.01	2
2.45	18.6	1
21.7	18.7	9
14.07	8.31	5
19.87	5.22	8
7.09	2.56	2
7.81	21.36	4
11.51	21.68	9
18.58	12.3	7
5.85	25.29	3
10.94	24.27	4
10.38	22.5	4
14.27	14.42	6
3.31	2.16	2
18.31	12.45	7
14.77	14.32	5
7.39	22.54	3
0.66	18.79	1
2.07	18.46	1
4.14	3.43	2
