x	y	
8.68	6.2	9
1.98	22.17	2
2.83	23.48	4
24.29	6.06	3
14	15.69	10
2.35	22.14	6
16.67	9.28	2
5.72	4.15	6
1.22	21.99	8
2.11	22.78	10
4.35	11.06	4
8.58	5.61	5
10.3	4.86	8
22.75	18.77	9
10.81	23.8	9
19.25	0.34	5
7.54	4.28	9
9.61	5.68	2
7.69	7.19	1
24.32	6.46	4
12.52	26.3	3
20.34	0.96	2
18.92	1.42	1
13.01	24.39	1
19.27	4.05	7
14.72	14.84	9
17.31	10.08	2
12.34	23.86	9
12.96	25.32	7
17.44	10.47	5
8.39	5.73	3
22.76	19.87	10
21.33	2.91	8
15.45	8.93	4
7.07	5.3	1
19.64	3.17	3
9.92	17.92	1
16.19	15.47	6
25.54	6.78	4
14.88	15.45	8
11.81	24.94	8
23.71	7.13	10
14.17	16.8	4
10.21	18.35	9
24.15	7.91	10
5.17	11.69	10
24.84	8.78	10
16.17	8.01	8
9.94	4.67	2
7.69	5.42	5
23.41	20.33	3
17.66	9.84	3
16.41	15.91	4
10.17	18.27	3
23.15	18.34	3
19.98	0.25	4
14.69	13.46	1
19.08	9.71	6
19.78	2.29	6
4.57	14.75	2
21.3	21.19	1
20.1	3.92	4
17.22	9.69	7
1.92	23.9	6
12.16	26.32	3
5.18	13.11	4
23.54	19.57	1
21.36	20.54	6
12.81	25.33	6
1.87	21.56	5
22.73	21.41	3
21.73	19.95	7
10.19	15.24	1
3.36	24.23	6
22.01	19.53	9
19.91	2.19	6
25.28	6.93	5
8.6	17.2	8
2.82	22.7	8
16.1	13.4	10
10.57	17.69	1
13.2	26.03	5
20.81	2.78	9
5.67	3.89	3
17.36	9.28	9
10.86	17.23	10
21.38	2.95	8
9.35	17.07	4
2.6	20.44	5
15.58	14.31	2
10.99	18.03	3
26.61	6.62	8
21.37	20.33	8
9.93	16.78	1
14.73	16.9	4
11.88	25.8	9
15.71	14.61	10
12.94	25	3
23.52	19.61	9
7.35	4.3	8
20.33	2.45	7
9.74	17.81	8
17.74	11.14	9
5.23	13.13	7
22.73	19.29	5
10.07	18.36	9
23.36	20.07	8
23.29	18.24	5
5.58	4.82	4
9.85	18.59	3
26.51	8.01	3
23.59	7.52	9
16.69	13.93	2
5.76	13.4	6
19.7	4.17	2
5.56	12.46	3
22.41	20.98	1
11.27	23.49	9
9.25	16.97	9
22.63	20.84	10
10.38	18.39	4
23.77	6.68	8
19.23	2.67	3
23.16	21.04	5
25.85	8.33	7
9.25	16.63	3
13.59	23.93	8
12.09	25.53	3
0.93	23.06	9
4.57	13	8
25	8.75	3
25.35	6.61	3
3.64	22.29	7
24.66	9.35	1
7.23	3.36	2
19.29	2.6	8
7.59	4.94	4
1.87	22.97	7
9.79	5.39	7
13.96	26.41	7
9.29	17.09	10
18.12	9.46	10
20.54	1.32	9
7.9	4.15	1
25.4	9.13	4
4.05	21.93	2
5.66	13.71	6
6.38	13.21	9
5.12	13.26	5
6.13	13.79	10
5.15	11.8	1
11.05	18.31	6
13.55	25.11	7
22.45	19.77	7
20.06	0.8	4
9.39	16.81	9
12.7	15.78	1
10.74	26.53	4
16.42	16.16	6
5.97	4.32	6
21.71	21.12	4
24.9	7.75	8
8.5	5.05	2
18.23	9.33	10
7.92	17.04	1
8.36	4.69	4
23.72	6.43	10
16.02	13.22	3
21.92	4.73	10
8.95	16.69	2
25.07	6	9
12.4	25.11	8
22.37	21.24	5
13.64	24.01	10
6.3	4.35	10
23.59	21.99	5
25.37	8.16	5
2.4	13.4	5
3.99	21.28	1
22.18	17.74	9
1.39	23.92	5
9.8	17.66	5
23.17	19.6	6
20.44	1.91	4
3.78	23.14	4
12.75	26.56	8
10.19	17.21	1
9.04	17.04	2
17.66	13.97	2
23.52	17.5	8
4.96	11.24	10
18.74	2.94	5
14.64	15.29	5
15.95	9.62	4
1.47	22.69	10
5.72	12.41	9
24.32	5.62	5
2.04	21.38	6
12.37	25.07	4
23.14	2.75	9
