x	y	class
22.02	26.6	9
27.75	18.28	11
20.19	6.77	8
19.85	22.32	7
3.31	2	1
14.29	6.93	6
3.13	2.05	1
4.21	19.7	2
11.42	12.23	5
25.08	24.2	10
10.13	15.16	4
25.36	22.83	10
1.91	2.07	1
5.69	21.48	2
9.58	12.6	4
3.01	20.34	2
21.51	27.62	9
20.55	7.84	8
6.56	11.15	3
1.85	3.04	1
16.8	5.79	6
10.72	14.37	4
19.93	7.24	8
26.86	19.13	11
13.37	12.9	5
3.63	1.97	1
10.84	12.44	5
14.42	12.96	5
21.17	6.09	8
24.03	25.94	10
30.18	18.46	11
26.11	23.77	10
8.12	10.18	3
27.58	17.01	11
27.81	19.31	11
13.77	11.65	5
22.2	27.84	9
20.33	29.85	9
15.11	6.17	6
17.42	21.92	7
15.31	5.29	6
7.31	9.74	3
15.12	6.21	6
17.63	21.14	7
19.98	8.6	8
10.49	13.54	4
16.98	24.04	7
19.38	8.48	8
18.3	22.99	7
26.63	17.19	11
4.93	21	2
22.78	26.32	9
22.18	26.98	9
0.88	1.71	1
8.37	8.72	3
11.03	13.43	5
13.79	4.96	6
2.12	3.33	1
22.22	26.6	9
9.16	15.93	4
11.79	11.92	5
28.4	17.87	11
16.49	4.14	6
8.59	14.73	4
27.38	17.19	11
16.56	5.76	6
5.49	20.76	2
22.94	27.01	9
22.72	26.49	9
8.42	13.72	4
9.51	15.53	4
27.12	17.51	11
5.19	20.59	2
26.58	23.47	10
15.65	3.7	6
28.28	17.57	11
5.04	19.67	2
1.53	4.02	1
19.4	6.26	8
13.88	12.22	5
7.87	9.47	3
13.94	4.74	6
16.31	5.42	6
23.61	27.53	10
2.69	2.49	1
9.16	16.28	4
10.39	13.58	4
26.79	17.38	11
7.23	10.15	3
9.72	16.34	4
13.11	12.07	5
7.39	9.63	3
3.47	19.66	2
4.81	18.5	2
16.38	21.11	7
24.83	24.22	10
17.75	20.57	7
25.46	24.89	10
1.04	2.25	1
8.12	9.92	3
16.29	3.41	6
7.07	9.83	3
9.97	15.99	4
14.35	5.52	6
14.96	6	6
25.2	23.6	10
16.56	22.12	7
22.86	26.28	9
17.05	23.44	7
23.26	29.12	9
18.11	21.11	7
23.54	27.94	9
8.84	15.04	4
12.4	12.95	5
23.24	26.71	9
25.16	16.83	11
22.14	27.36	9
17.4	22.93	7
14.47	5.54	6
5.66	20.31	2
18.24	25.36	7
5.67	18.72	2
14.56	5.36	6
21.37	7.25	8
6.72	9.26	3
11.19	14.25	5
16.02	22.87	7
20.79	8.85	8
22.88	27.81	9
25.05	25.03	10
8.5	10.8	3
27.13	19.63	11
22.63	26.85	9
4.24	2.33	1
24.65	25.01	10
17.88	23.15	7
4.76	20.16	2
21.32	26.96	9
1.7	2.66	1
9.72	15.55	4
22.29	27.91	9
14.77	5.16	6
29.05	18.08	11
28.43	18.77	11
9.34	14.05	4
5.36	20.98	2
19.18	22.41	7
27.37	17.56	11
22.09	27.77	9
12.25	10.92	5
17.34	22.01	7
17.16	21.54	7
15.17	3.81	6
7.76	11.48	3
13.64	13.05	5
11.02	14.87	4
26.39	24.17	10
19.9	6.59	8
7.4	9.86	3
21.79	27.58	9
11.97	16.57	4
2.4	1.5	1
8.12	10.21	3
24.12	25.01	10
4.75	20.93	2
14.37	5.23	6
11.19	15.59	4
19.62	7.97	8
9.97	16.31	4
17.68	21.55	7
11.58	11.17	5
4.94	18.56	2
27.24	17.56	11
10.29	15.4	4
7.04	8.56	3
12.03	10.86	5
16.28	20.98	7
8.52	9.9	3
12.57	3.91	6
16.43	5	6
11.33	12.02	5
26.79	17.44	11
12.47	12.29	5
20.79	8.24	8
15.19	5.83	6
1.65	1.93	1
25.74	24.44	10
24.23	25.74	10
13.46	5.21	6
8.6	13.39	4
18.03	22.34	7
8.07	11.17	3
2.95	20.95	2
3.01	2.75	1
23.75	27.58	9
25.43	24.2	10
16.94	5.8	6
3.59	21.21	2
14.58	3.61	6
10.11	14.87	4
5.95	10.57	3
23.5	26.19	9
13.9	5.35	6
12.97	13.05	5
4.63	20.1	2
13.96	5.24	6
10.34	16.84	4
18.46	21.84	7
14.17	5.39	6
23.73	26.17	10
22.08	8.03	8
6.32	20.17	2
27.43	17.78	11
18.89	5.96	8
16.76	4.63	6
27.21	15.72	11
26.08	26.55	10
6.36	11.63	3
19.21	7.93	8
24.47	25.39	10
