x	y	class
11.14	10.16	6
15.74	21.21	6
10.17	20.2	4
6.12	22.22	1
5.08	3.65	2
10.09	14.84	4
8.48	25.07	3
24.41	8.09	10
10.72	17.39	4
10.86	19.18	4
7.92	25.31	3
25.5	6.95	10
13.63	19.68	6
24.56	8.07	10
23.58	15.1	9
12.86	10.89	6
23.49	6.9	10
18.75	2.98	7
14.01	20.32	6
16.15	3.64	7
12.8	9.8	6
22.69	14.77	9
11.49	17.36	4
9.14	17.69	4
20.53	13.62	8
23.74	14.86	9
21.02	15.04	9
21.53	13.06	8
12.36	8.49	6
5.31	5.24	2
17.14	0.86	7
1.03	22.89	3
16.84	1.08	7
4.14	23.23	3
4.75	6.92	2
9.48	25.83	3
2.96	23.25	1
6.64	24.2	3
7.34	24.79	3
10.09	17.71	4
25.1	7.97	10
15.78	20.86	6
23.07	15.46	9
3.31	22.54	1
22.45	15.68	9
18.74	0.64	7
17.68	2.5	7
7.35	26.05	3
22.86	5.71	10
23.14	14.59	9
5.28	6.84	2
12.59	20.43	6
7.84	24.47	3
0.87	21.88	1
6.74	24.02	3
12.1	10.73	5
20.53	13.76	8
6.45	27.6	3
13.12	9.7	5
23.37	16.09	9
14.66	20.93	6
25.23	8.26	10
8.8	25.43	3
21.06	11.48	6
8.3	25.52	3
25.2	8.64	10
25.11	7.13	10
1.8	21.67	1
8.25	24.96	3
11.46	10.43	5
5.54	6.57	2
11.6	9.49	5
17.85	3.68	7
13.46	9.78	5
24.09	8.26	10
18.89	11.46	6
12.58	9.31	5
16.92	1.5	7
4.28	24.5	3
23.18	16.88	9
4.45	3.47	2
14.89	18.42	6
15.91	20.32	6
22.59	13.09	9
24	7.77	10
7.77	25.63	3
21.48	14.2	9
16.84	5.05	7
2.92	23.57	3
9.09	25.89	3
11.02	17.23	4
20.4	1.86	7
8.01	25.21	3
19.74	11.17	8
20.37	13.03	8
21.17	13.42	9
24.79	8.08	10
24.48	7.39	10
11.63	15.24	4
9.06	19	4
15.16	19.86	6
7.3	25.01	3
12.06	11.21	5
10.94	10.31	5
16.05	19.99	6
22.55	16.83	8
10.56	18.24	3
12.96	9.88	4
12.34	10.32	5
25.87	9.06	10
24.27	14.79	9
21.46	14.4	9
5.56	6	2
8.19	26.71	3
15.94	19.65	6
7.96	25.92	3
2.01	21.84	1
2.87	24.02	1
24.21	15.18	9
7.64	25.88	3
17.96	2.29	7
22.18	16.83	9
5.33	5.41	2
9.32	16.76	4
7.97	24.22	3
15.17	19.07	6
25.57	10.04	10
19.27	12.3	8
3.17	22.77	1
9.4	16.8	4
21.71	14.63	9
17.49	2.11	7
14.97	19.3	6
8.96	24.46	3
20.73	13.59	9
5.68	5.07	2
18.45	12.2	8
9.53	16.92	4
22.32	15.7	9
23.39	7.95	10
5.97	5.02	2
23.69	15.01	8
1.55	22.89	1
12.46	9.85	5
6.37	25.2	3
25.32	6.96	1
19.44	12.3	8
17.2	2.37	7
7.67	25.54	3
1.49	23.34	4
26.37	7.53	4
17.95	3.07	8
8.7	17.87	4
20.8	11.52	8
6	4.88	2
12.81	10.45	5
19	13.13	6
22.45	13.17	6
25.86	7.32	1
2.76	21.37	1
3.87	5.58	2
14.59	21.27	6
23.19	15.89	9
19.07	13.65	8
16.67	2.51	8
7.54	25.1	3
9.89	18.47	4
5.85	5.08	2
5.65	4.05	2
24.69	16.11	9
25.22	6.96	10
16.94	3.37	5
21.6	13.88	9
3.59	21.75	5
13.45	8.58	5
4.03	4.58	2
4.8	4.01	2
7.1	24.11	3
7.02	24.34	3
13.41	10.46	5
23	15.96	8
15.61	19.26	6
2.03	21.92	5
6.12	23.63	3
3.58	22.03	1
7.49	25.81	3
20.16	12.53	8
12.87	8.17	5
3.11	25.32	1
11.35	17.45	4
19.74	13.47	8
17.49	2.74	1
24.65	7.48	1
15.55	3.85	8
13.47	10.07	5
10.61	16.12	4
8.43	24.03	3
16.47	2.65	8
14.29	21.48	6
14.43	18.22	6
